Date : 2021-10-19 17:29:36
Directory : /Users/adamspice/projects/spiceydev
Total : 222 files,  44004 codes, 614 comments, 748 blanks, all 45366 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/pages/product-page/product-page.component.html                | HTML       |         41 |          0 |          3 |         44 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/pages/product-page/product-page.component.ts                  | TypeScript |         48 |          0 |          8 |         56 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/pages/products-list/products-list.component.html              | HTML       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/pages/products-list/products-list.component.ts                | TypeScript |         44 |          0 |          8 |         52 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/products.module.ts                                            | TypeScript |         60 |          0 |          2 |         62 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/services/categories.service.ts                                | TypeScript |         32 |          0 |          8 |         40 |
| /Users/adamspice/projects/spiceydev/libs/products/src/lib/services/products.service.ts                                  | TypeScript |         51 |          0 |         10 |         61 |
| /Users/adamspice/projects/spiceydev/libs/products/src/test-setup.ts                                                     | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/libs/products/tsconfig.json                                                         | JSON       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/products/tsconfig.lib.json                                                     | JSON       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/libs/products/tsconfig.spec.json                                                    | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/libs/ui/.eslintrc.json                                                              | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/libs/ui/README.md                                                                   | Markdown   |          4 |          0 |          4 |          8 |
| /Users/adamspice/projects/spiceydev/libs/ui/jest.config.js                                                              | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/index.ts                                                                | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/lib/components/banner/banner.component.html                             | HTML       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/lib/components/banner/banner.component.ts                               | TypeScript |          9 |          0 |          2 |         11 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/lib/components/gallery/gallery.component.html                           | HTML       |         14 |          0 |          1 |         15 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/lib/components/gallery/gallery.component.ts                             | TypeScript |         21 |          0 |          6 |         27 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/lib/ui.module.ts                                                        | TypeScript |         11 |          0 |          1 |         12 |
| /Users/adamspice/projects/spiceydev/libs/ui/src/test-setup.ts                                                           | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/libs/ui/tsconfig.json                                                               | JSON       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/ui/tsconfig.lib.json                                                           | JSON       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/libs/ui/tsconfig.spec.json                                                          | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/libs/users/.eslintrc.json                                                           | JSON       |          3 |         37 |          0 |         40 |
| /Users/adamspice/projects/spiceydev/libs/users/README.md                                                                | Markdown   |          4 |          0 |          4 |          8 |
| /Users/adamspice/projects/spiceydev/libs/users/jest.config.js                                                           | JavaScript |         23 |          0 |          1 |         24 |
| /Users/adamspice/projects/spiceydev/libs/users/src/index.ts                                                             | TypeScript |         11 |          0 |          1 |         12 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/models/user.ts                                                   | TypeScript |         14 |          0 |          1 |         15 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/pages/login/login.component.html                                 | HTML       |         40 |          0 |          1 |         41 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/pages/login/login.component.ts                                   | TypeScript |         52 |          0 |          9 |         61 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/services/auth-guard.service.ts                                   | TypeScript |         21 |          0 |          6 |         27 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/services/auth.service.ts                                         | TypeScript |         28 |          0 |          5 |         33 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/services/jwt.interceptor.ts                                      | TypeScript |         29 |          0 |          5 |         34 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/services/localstorage.service.ts                                 | TypeScript |         41 |          0 |          8 |         49 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/services/users.service.ts                                        | TypeScript |         62 |          0 |         14 |         76 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.actions.ts                                           | TypeScript |          8 |          0 |          4 |         12 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.effects.spec.ts                                      | TypeScript |         31 |          0 |         11 |         42 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.effects.ts                                           | TypeScript |         39 |          0 |          4 |         43 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.facade.spec.ts                                       | TypeScript |         85 |          6 |         23 |        114 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.facade.ts                                            | TypeScript |         13 |          0 |          6 |         19 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.models.ts                                            | TypeScript |          3 |          3 |          1 |          7 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.reducer.spec.ts                                      | TypeScript |         27 |          0 |          9 |         36 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.reducer.ts                                           | TypeScript |         32 |          0 |          8 |         40 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.selectors.spec.ts                                    | TypeScript |         51 |          0 |         12 |         63 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/state/users.selectors.ts                                         | TypeScript |          7 |          1 |          4 |         12 |
| /Users/adamspice/projects/spiceydev/libs/users/src/lib/users.module.ts                                                  | TypeScript |         33 |          0 |          3 |         36 |
| /Users/adamspice/projects/spiceydev/libs/users/src/test-setup.ts                                                        | TypeScript |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/libs/users/tsconfig.json                                                            | JSON       |         13 |          0 |          1 |         14 |
| /Users/adamspice/projects/spiceydev/libs/users/tsconfig.lib.json                                                        | JSON       |         19 |          0 |          1 |         20 |
| /Users/adamspice/projects/spiceydev/libs/users/tsconfig.spec.json                                                       | JSON       |         10 |          0 |          1 |         11 |
| /Users/adamspice/projects/spiceydev/nx.json                                                                             | JSON       |         57 |          0 |          1 |         58 |
| /Users/adamspice/projects/spiceydev/package-lock.json                                                                   | JSON       |     38,284 |          0 |          1 |     38,285 |
| /Users/adamspice/projects/spiceydev/package.json                                                                        | JSON       |         74 |          0 |          1 |         75 |
| /Users/adamspice/projects/spiceydev/styles/admin.scss                                                                   | SCSS       |         12 |          4 |          5 |         21 |
| /Users/adamspice/projects/spiceydev/styles/apps/admin/dashboard.scss                                                    | SCSS       |         33 |          0 |          8 |         41 |
| /Users/adamspice/projects/spiceydev/styles/apps/admin/shell.scss                                                        | SCSS       |         56 |          0 |         12 |         68 |
| /Users/adamspice/projects/spiceydev/styles/apps/shop/pages/home-page.scss                                               | SCSS       |          0 |          0 |          1 |          1 |
| /Users/adamspice/projects/spiceydev/styles/apps/shop/pages/products-list-page.scss                                      | SCSS       |          0 |          0 |          1 |          1 |
| /Users/adamspice/projects/spiceydev/styles/apps/shop/shared/footer.scss                                                 | SCSS       |         17 |          0 |          3 |         20 |
| /Users/adamspice/projects/spiceydev/styles/apps/shop/shared/header.scss                                                 | SCSS       |         21 |          0 |          5 |         26 |
| /Users/adamspice/projects/spiceydev/styles/apps/shop/shared/nav.scss                                                    | SCSS       |         14 |          0 |          2 |         16 |
| /Users/adamspice/projects/spiceydev/styles/base/colors.scss                                                             | SCSS       |          2 |          0 |          1 |          3 |
| /Users/adamspice/projects/spiceydev/styles/base/configuration.scss                                                      | SCSS       |          8 |          0 |          2 |         10 |
| /Users/adamspice/projects/spiceydev/styles/base/fonts.scss                                                              | SCSS       |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/styles/base/mixins.scss                                                             | SCSS       |          5 |          0 |          1 |          6 |
| /Users/adamspice/projects/spiceydev/styles/libs/orders/cart.scss                                                        | SCSS       |         54 |          0 |          9 |         63 |
| /Users/adamspice/projects/spiceydev/styles/libs/orders/checkout.scss                                                    | SCSS       |         21 |          0 |          4 |         25 |
| /Users/adamspice/projects/spiceydev/styles/libs/orders/order-summary.scss                                               | SCSS       |         32 |          0 |          6 |         38 |
| /Users/adamspice/projects/spiceydev/styles/libs/orders/orders.scss                                                      | SCSS       |          3 |          0 |          1 |          4 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/categories-banner.scss                                         | SCSS       |         27 |          0 |          4 |         31 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/featured-products.scss                                         | SCSS       |          6 |          0 |          1 |          7 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/product-item.scss                                              | SCSS       |         40 |          0 |          6 |         46 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/product-page.scss                                              | SCSS       |         43 |          0 |         10 |         53 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/products-search.scss                                           | SCSS       |         25 |          0 |          4 |         29 |
| /Users/adamspice/projects/spiceydev/styles/libs/products/products.scss                                                  | SCSS       |          5 |          0 |          1 |          6 |
| /Users/adamspice/projects/spiceydev/styles/libs/ui/banner.scss                                                          | SCSS       |         39 |          0 |          8 |         47 |
| /Users/adamspice/projects/spiceydev/styles/libs/ui/gallery.scss                                                         | SCSS       |         26 |          0 |          2 |         28 |
| /Users/adamspice/projects/spiceydev/styles/libs/ui/ui.scss                                                              | SCSS       |          2 |          0 |          1 |          3 |
| /Users/adamspice/projects/spiceydev/styles/libs/users/login-register.scss                                               | SCSS       |         15 |          0 |          2 |         17 |
| /Users/adamspice/projects/spiceydev/styles/libs/users/users.scss                                                        | SCSS       |          1 |          0 |          1 |          2 |
| /Users/adamspice/projects/spiceydev/styles/ngshop.scss                                                                  | SCSS       |         25 |          5 |          7 |         37 |
| /Users/adamspice/projects/spiceydev/tools/tsconfig.tools.json                                                           | JSON       |         11 |          2 |          0 |         13 |
| /Users/adamspice/projects/spiceydev/tsconfig.base.json                                                                  | JSON       |         19 |          9 |          0 |         28 |
| Total                                                                                                                   |            |     44,004 |        614 |        748 |     45,366 |
+-------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
